id,code,nom,type,prix,pays,volume,tauxAlcool,cup,producteur,agentPromo,urlImage
13584455,262034,1000 Stories Zinfandel Californie,Vin rouge,28.85,États-Unis,750.0,15.5,82896001453,1000 Stories Vineyards,Escalade Wines & Spirits,https://www.saq.com/media/catalog/product/1/3/13584455-1_1578538222.png
13876247,273449,14 Hands Cabernet-Sauvignon Columbia Valley,Vin rouge,15.95,États-Unis,750.0,13.5,88586001895,14 Hands Winery,Vins Philippe Dandurand Ltée,https://www.saq.com/media/catalog/product/1/3/13876247-1_1582145731.png
12824197,236732,19 Crimes Cabernet-Sauvignon Limestone Coast,Vin rouge,18.95,Australie,750.0,14.0,9311220004534,19 Crimes,Mark Anthony Brands Ltd,https://www.saq.com/media/catalog/product/1/2/12824197-1_1578411313.png
13624710,263675,19 Crimes Hard Chard,Vin blanc,17.95,Australie,750.0,16.0,12354001947,19 Crimes,Mark Anthony Brands Ltd,https://www.saq.com/media/catalog/product/1/3/13624710-1_1578539419.png
12073995,207143,19 Crimes Shiraz/Grenache/Mataro,Vin rouge,18.95,Australie,750.0,14.5,12354000995,19 Crimes,Mark Anthony Brands Ltd,https://www.saq.com/media/catalog/product/1/2/12073995-1_1580659214.png
14185211,286187,3 Lacs Citron Tournesol,Dry gin,45.0,Canada,750.0,43.0,851006001009,Distillerie 3 Lacs,Distillerie des Trois-Lacs Inc. (R),https://www.saq.com/media/catalog/product/1/4/14185211-1_1601489458.png
14139863,284654,655 Miles Cabernet Sauvignon Lodi,Vin rouge,14.95,États-Unis,750.0,14.0,56049135920,Arterra Wines Canada,"Vins Arterra Canada, division Québec Inc",https://www.saq.com/media/catalog/product/1/4/14139863-1_1578552320.png
14296666,290909,A&D Wines Monologo Arinto p24,Vin blanc,18.65,Portugal,750.0,13.0,5605829000610,A&D Wines,Importations BMT Inc,https://www.saq.com/media/catalog/product/1/4/14296666-1_1580258418.png
12889126,238916,A.A. Badenhorst The Curator,Vin blanc,14.1,Afrique du Sud,750.0,13.0,6009800591378,Adi Badenhorst,Symbiose vins et cies inc.,https://www.saq.com/media/catalog/product/1/2/12889126-1_1578413412.png
12206461,211823,Aberfeldy 12 Single Malt Scotch Whisky,Scotch single malt,56.5,Royaume Uni,750.0,40.0,5000277003457,Aberfeldy 21,Bacardi Canada Inc.,https://www.saq.com/media/catalog/product/1/2/12206461-1_1580661316.png
10866887,166070,Aberlour 12 Ans Double Cask Speyside Scotch Whisky Single Malt,Scotch single malt,61.75,Royaume Uni,750.0,40.0,5000299298459,Aberlour Glenlivet Distillery Co. Ltd.,Corby Spiritueux et Vins Limitée,https://www.saq.com/media/catalog/product/1/0/10866887-1_1610988032.png
13533295,259958,Absintherie des Cantons Aquavit Belle-Isle,Eau-de-vie,38.25,Canada,750.0,40.0,3451740400006,Absintherie des Cantons,Corporation Bella Vita International,https://www.saq.com/media/catalog/product/1/3/13533295-1_1578537310.png
13312185,252698,Absintherie des Cantons Fleur Bleue,Absinthe,55.5,Canada,500.0,53.0,3451740530000,Absintherie des Cantons,Corporation Bella Vita International,https://www.saq.com/media/catalog/product/1/3/13312185-1_1581017111.png
13306308,252518,Absintherie des Cantons Joual Vert,Absinthe,65.5,Canada,500.0,68.0,3451740680002,Absintherie des Cantons,Corporation Bella Vita International,https://www.saq.com/media/catalog/product/1/3/13306308-1_1578534017.png
13916237,275309,Absintherie des Cantons Panoramix,Dry gin,49.25,Canada,750.0,42.0,3451740000428,Absintherie des Cantons,Corporation Bella Vita International,https://www.saq.com/media/catalog/product/1/3/13916237-1_1578545714.png
13305831,252521,Absintherie des Cantons Wendigo,Dry gin,37.0,Canada,750.0,42.9,3451740420004,Absintherie des Cantons,Corporation Bella Vita International,https://www.saq.com/media/catalog/product/1/3/13305831-1_1578534017.png
11401133,184301,Absolut,Vodka,39.25,Suède,1140.0,40.0,208352290050,The Absolut Company,Corby Spiritueux et Vins Limitée,https://www.saq.com/media/catalog/product/1/1/11401133-1_1580617514.png
110056,170093,Absolut,Vodka,26.35,Suède,750.0,40.0,835229000308,The Absolut Company,Corby Spiritueux et Vins Limitée,https://www.saq.com/media/catalog/product/1/1/110056-1_1580592012.png
257238,292940,Absolut Citron,Vodka aromatisée,26.95,Suède,750.0,40.0,835229001305,V & S Vin & Spirit,Corby Spiritueux et Vins Limitée,https://www.saq.com/media/catalog/product/2/5/257238-1_1580593210.png
14445836,313795,Absolut Juice Strawberry Edition,Vodka aromatisée,30.25,Suède,750.0,35.0,7312040552474,The Absolut Company,Corby Spiritueux et Vins Limitée,https://www.saq.com/media/catalog/product/1/4/14445836-1_1589911865.png
13570942,261113,Absolut Lime,Vodka aromatisée,26.95,Suède,750.0,40.0,7312040551675,The Absolut Company,Corby Spiritueux et Vins Limitée,https://www.saq.com/media/catalog/product/1/3/13570942-1_1578537914.png
11949406,204053,Absolut Raspberri,Vodka aromatisée,27.2,Suède,750.0,40.0,835229008304,The Absolut Company,Corby Spiritueux et Vins Limitée,https://www.saq.com/media/catalog/product/1/1/11949406-1_1580629818.png
13188891,248342,Ackerman Crémant de Loire,Vin mousseux,20.9,France,750.0,11.5,3221580054833,Ackerman,Sylvestre Vins et Spiritueux Inc.,https://www.saq.com/media/catalog/product/1/3/13188891-1_1581315326.png
13679892,265874,Adega De Pegões Colheita Seleccionada,Vin rouge,16.55,Portugal,750.0,13.0,5603016000153,Cooperativa Agricola de Santo Isidro de,Réseau International Global Inc.,https://www.saq.com/media/catalog/product/1/3/13679892-1_1578540618.png
10838801,163844,Adega de Pegões Colheita Seleccionada Peninsula de Setubal,Vin blanc,12.7,Portugal,750.0,13.0,5603016000160,Cooperativa Agricola de Santo Isidro de,Réseau International Global Inc.,https://www.saq.com/media/catalog/product/1/0/10838801-1_1580608817.png
13746485,268481,Adega de Penalva Dão,Vin rouge,12.3,Portugal,750.0,12.5,5606469000053,Adega de Penalva,La QV Inc. (GB),https://www.saq.com/media/catalog/product/1/3/13746485-1_1578541826.png
12728904,233534,Adega de Penalva Dão,Vin blanc,11.95,Portugal,750.0,12.5,5606469000015,Adega de Penalva,La QV Inc. (GB),https://www.saq.com/media/catalog/product/1/2/12728904-1_1578408922.png
13844317,271598,Adega de Penalva Maceration pelliculaire Dão,Vin blanc,22.2,Portugal,750.0,12.5,5606469001258,Adega de Penalva,La QV Inc. (GB),https://www.saq.com/media/catalog/product/1/3/13844317-1_1578543322.png
13950347,277064,Alain Brumont La Gascogne,Vin blanc,43.15,France,3000.0,12.5,3372224000249,S.A. Vignobles Brumont,Mark Anthony Brands Ltd,https://www.saq.com/media/catalog/product/1/3/13950347-1_1605819950.png
12284303,214439,Alain Brumont Madiran Tour Bouscassé,Vin rouge,18.05,France,750.0,13.5,3372220160190,Alain Brumont,Mark Anthony Brands Ltd,https://www.saq.com/media/catalog/product/1/2/12284303-1_1580666719.png
14534628,316581,Alain Chavy Puligny Montrachet,Vin blanc,94.0,France,750.0,13.0,4000145346281,Domaine Alain Chavy,Valmonti Inc.,https://www.saq.com/media/catalog/product/1/4/14534628-1_1605711342.png
14534679,316548,Alain Chavy Puligny-Montrachet Premier Cru Les Clavoillons,Vin blanc,130.5,France,750.0,13.5,4000145346793,Domaine Alain Chavy,Valmonti Inc.,https://www.saq.com/media/catalog/product/1/4/14534679-1_1614194739.png
14534636,316521,Alain Chavy Saint-Aubin Premier Cru En Remilly,Vin blanc,77.75,France,750.0,13.0,4000145346366,Domaine Alain Chavy,Valmonti Inc.,https://www.saq.com/media/wysiwyg/placeholder/category/06.png
14475242,314494,Alastro Planeta Sicilia,Vin blanc,19.55,Italie,750.0,12.5,8020735205008,Planeta SAS,La Céleste Levure inc.,https://www.saq.com/media/catalog/product/1/4/14475242-1_1592505014.png
14228356,288680,Albente Feudi di San Gregorio,Vin blanc,14.3,Italie,750.0,12.5,8022888310011,Feudi di San Gregorio Az. Agr. SPA,Tocade,https://www.saq.com/media/catalog/product/1/4/14228356-1_1578554417.png
