region,succ_name,firstCat,source,target,value
Montréal,Ste-Catherine Ouest/Stanley,Vin,Vin,Vin rouge,336
Montréal,Ste-Catherine Ouest/Stanley,Spiritueux,Spiritueux,Scotch et whisky,74
Montréal,Ste-Catherine Ouest/Stanley,Spiritueux,Spiritueux,Vodka,64
Montréal,Ste-Catherine Ouest/Stanley,Vin,Vin,Vin blanc,147
Montréal,Ste-Catherine Ouest/Stanley,Spiritueux,Spiritueux,Liqueur et Crème,63
Montréal,Ste-Catherine Ouest/Stanley,Apéritif,Apéritif,Apéritif à base de gentiane,3
Montréal,Ste-Catherine Ouest/Stanley,Spiritueux,Spiritueux,Rhum,49
Montréal,Ste-Catherine Ouest/Stanley,Champagne et mousseux,Champagne et mousseux,Champagne,16
Montréal,Ste-Catherine Ouest/Stanley,Spiritueux,Spiritueux,Gin,39
Montréal,Ste-Catherine Ouest/Stanley,Cooler et cocktail prémixé,Cooler et cocktail prémixé,Cooler à base de spiritueux,23
Montréal,Ste-Catherine Ouest/Stanley,Spiritueux,Spiritueux,Téquila,17
Montréal,Ste-Catherine Ouest/Stanley,Vin,Vin,Vin rosé,11
Montréal,Ste-Catherine Ouest/Stanley,Champagne et mousseux,Champagne et mousseux,Vin mousseux,24
Montréal,Ste-Catherine Ouest/Stanley,Champagne et mousseux,Champagne et mousseux,Vin mousseux rosé,8
Montréal,Ste-Catherine Ouest/Stanley,Porto et vin fortifié,Porto et vin fortifié,Porto,6
Montréal,Ste-Catherine Ouest/Stanley,Spiritueux,Spiritueux,Cognac et brandy,17
Montréal,Ste-Catherine Ouest/Stanley,Cidre,Cidre,Cidre mousseux,6
Montréal,Ste-Catherine Ouest/Stanley,Spiritueux,Spiritueux,Eau-de-vie,6
Montréal,Ste-Catherine Ouest/Stanley,Cidre,Cidre,Cidre liquoreux,1
Montréal,Ste-Catherine Ouest/Stanley,Cidre,Cidre,Cidre de glace,4
Montréal,Ste-Catherine Ouest/Stanley,Cidre,Cidre,Cidre aromatisé,1
Montréal,Ste-Catherine Ouest/Stanley,Poiré,Poiré,Poiré de glace,1
Montréal,Ste-Catherine Ouest/Stanley,Cidre,Cidre,Cidre fort,1
Montréal,Ste-Catherine Ouest/Stanley,Cooler et cocktail prémixé,Cooler et cocktail prémixé,Cocktail à base de spiritueux,4
