region,population,superficie,nb_succ_tot,nb_saq,nb_saq_s,nb_saq_e,nb_saq_d,nb_saq_r
Gaspésie-Îles-de-la-Madeleine,90634,20272,12,12,0,0,0,0
Côte-Nord,91121,236502,7,6,1,0,0,0
Capitale-Nationale,751366,18644,47,33,9,3,1,1
Bas-Saint-Laurent,197736,22185,12,10,2,0,0,0
Abitibi-Témiscamingue,148216,57349,8,6,2,0,0,0
Laurentides,621736,20559,33,20,9,3,1,0
Mauricie,270016,35447,14,12,1,0,1,0
Chaudière-Appalaches,428924,15074,22,19,3,0,0,0
Montérégie,1581697,11111,75,47,23,3,2,0
Saguenay - Lac-Saint-Jean,277897,95760,13,9,3,0,1,0
Lanaudière,515682,12308,24,17,4,2,1,0
Estrie,329747,10195,15,11,3,0,1,0
Outaouais,396000,30467,18,11,4,2,1,0
Montréal,2050053,497.05,84,49,20,12,1,2
Laval,439754,246.14,15,8,6,1,0,0
Centre-du-Québec,249216,6921,8,6,2,0,0,0
Nord-du-Québec,46202,700461,2,2,0,0,0,0
