id,nom,type,adresse,ville,codePostal,tel,lat,lon,region
23001,Ste-Catherine Ouest/Stanley,SAQ Express,"1176, rue Ste-Catherine Ouest",Montréal,H3B1K1,514 861-7908,45.499036,-73.573856,Montréal
23002,Val d'Or,SAQ Sélection,"1801, 3e Avenue",Val-d'Or,J9P5K1,819 825-6309,48.097688,-77.824762,Abitibi-Témiscamingue
23003,Halles de la Gare,SAQ,"895, rue de la Gauchetière Ouest",Montréal,H3B4G1,514 876-4144,45.4998,-73.5662,Montréal
23004,Quartier Dix30,SAQ Sélection,"7200, boulevard Quartier",Brossard,J4Y0B5,450 656-6254,45.44508,-73.439228,Montérégie
23005,Senneterre,SAQ,"693, 10e Avenue",Senneterre,J0Y2M0,819 737-2581,48.39019,-77.24545,Abitibi-Témiscamingue
23006,Richmond,SAQ,"35, rue du Collège",Richmond,J0B2H0,819 826-2500,45.658208,-72.14076,Estrie
23008,Sainte-Thérèse - Boul. Curé-Labelle,SAQ,"232, boulevard Curé-Labelle",Sainte-Thérèse,J7E2X7,450 434-4283,45.6449,-73.8353,Laurentides
23009,Du Parc/Fairmount Ouest,SAQ,"5261, avenue du Parc",Montréal,H2V4G9,514 277-8118,45.52071,-73.598804,Montréal
23010,St-Laurent/Des Pins,SAQ,"3730, boulevard St-Laurent",Montréal,H2X2V8,514 842-1660,45.514761,-73.574565,Montréal
23011,Halles D'Anjou,SAQ,"7500, boulevard les Galeries d'Anjou",Montréal,H1M3M4,514 353-3068,45.5985,-73.5683,Montréal
23013,Lajeunesse/Fleury,SAQ Express,"10418, rue Lajeunesse",Montréal,H3L2E5,514 388-2726,45.5539,-73.6638,Montréal
23015,Baie D'Urfé,SAQ,"90, boulevard Morgan",Baie-d'Urfé,H9X3A8,514 457-9806,45.417287,-73.916515,Montérégie
23016,Saint-Lin-Laurentides,SAQ,"997, rue St-Isidore",Saint-Lin-Laurentides,J5M2V5,450 439-1748,45.8612961,-73.7571081,Lanaudière
23018,D.D.O. - Boul. St-Jean,SAQ Express,"3699-B, boulevard Saint-Jean",Dollard-des-Ormeaux,H9G1X2,514 624-5384,45.472193,-73.833046,Montréal
23019,Saint-Denis/Rachel,SAQ,"4190, rue St-Denis",Montréal,H2W2M5,514 845-5200,45.520405,-73.575111,Montréal
23020,Beaubien/De Lorimier,SAQ Express,"2100, rue Beaubien Est",Montréal,H2G1M6,514 727-7881,45.545526,-73.594534,Montréal
23021,Ontario/Pie IX,SAQ,"4035, rue Ontario Est",Montréal,H1W1T3,514 522-0704,45.549726,-73.541598,Montréal
23023,Décarie/Côte-Vertu,SAQ Express,"954, boulevard Décarie",Montréal,H4L3M4,514 747-2511,45.51346,-73.68159,Montréal
23025,Galeries Gatineau,SAQ Sélection,"948, boulevard Maloney Ouest",Gatineau,J8T3R6,819 561-3911,45.479111,-75.690494,Outaouais
23026,Lachine,SAQ,"460, 28e Avenue",Lachine,H8S3Z4,514 639-3994,45.436966,-73.688669,Montréal
23028,Faubourg Sainte-Catherine,SAQ,"1618, rue Ste-Catherine Ouest",Montréal,H3H2S7,514 935-5127,45.494363,-73.578634,Montréal
23029,Dorval,SAQ Sélection,"875, avenue Carson",Dorval,H9S3H8,514 631-4122,45.44347,-73.74378,Montréal
23030,Jarry/Lajeunesse,SAQ,"533, rue Jarry Est",Montréal,H2P1V6,514 271-6749,45.543858,-73.628575,Montréal
23031,Mansfield-et-Pontefract,SAQ,"242, rue Principale",Mansfield-et-Pontefract,J0X1R0,819 683-2688,45.849696,-76.726813,Outaouais
23032,Ville-Émard,SAQ,"6609, boulevard Monk",Montréal,H4E3J2,514 762-4143,45.45281,-73.593859,Montréal
23033,St-Jérôme - Centre-ville,SAQ,"461, rue Labelle",St-Jérôme,J7Z5L4,450 438-3755,45.780107,-74.00312,Laurentides
23035,Granby - Centre-ville,SAQ,"235, rue Principale",Granby,J2G2V9,450 372-0661,45.400517,-72.728138,Montérégie
23036,Fleury/Papineau,SAQ,"1745-A, rue Fleury Est",Montréal,H2C1T3,514 381-2707,45.566963,-73.654338,Montréal
23037,Joliette - Boul. Firestone,SAQ Sélection,"1243, boulevard Firestone",Joliette,J6E2W4,450 752-4011,46.0346635,-73.4219625,Lanaudière
23040,Louiseville,SAQ,"556, boulevard St-Laurent Est",Louiseville,J5V1H9,819 228-2611,46.257103,-72.926229,Mauricie
23041,Beauharnois,SAQ,"534, boulevard Cadieux",Beauharnois,J6N0R5,450 429-3373,45.3056273,-73.864109,Montérégie
23042,Marieville,SAQ,"124, rue Ouellette",Marieville,J3M1A5,450 460-7232,45.437689,-73.171367,Montérégie
23043,Fermé - Saint-Hyacinthe - Centre-ville,SAQ,"1590, rue des Cascades Ouest",St-Hyacinthe,J2S3H5,450 774-7111,45.624862,-72.945775,Montérégie
23044,Galeries D'Anjou,SAQ,"7999, boulevard les Galeries d'Anjou",Montréal,H1M1W6,514 353-5720,45.6012,-73.5647,Montréal
23045,Waterloo,SAQ,"4910, rue Foster",Waterloo,J0E2N0,450 539-0252,45.3437,-72.5166,Montérégie
23048,Longueuil - Boul. Roland-Therrien,SAQ Sélection,"1611, boulevard Roland-Therrien",Longueuil,J4J5C5,450 468-3811,45.53776,-73.47847,Montérégie
23049,Laval - Boul. Saint-Martin Ouest,SAQ Express,"1845, boulevard Saint-Martin Ouest",Laval,H7S1N2,450 681-2496,45.566696,-73.730211,Laval
23050,Carrefour du Casino,SAQ Sélection,"705, boulevard de la Carrière",Gatineau,J8Y6W6,819 777-1944,45.450361,-75.729076,Outaouais
23051,Buckingham,SAQ,"186, avenue Lépine",Gatineau,J8L0B4,819 986-3477,45.5757965,-75.3981575,Outaouais
23052,Galeries Aylmer,SAQ Sélection,"175, rue Principale",Gatineau,J9H3N2,819 684-5668,45.395577,-75.837702,Outaouais
23053,Berthierville,SAQ,"786, avenue Gilles-Villeneuve",Berthierville,J0K1A0,450 836-4414,46.085186,-73.188212,Lanaudière
23054,Amos,SAQ,"284, 1re Avenue Est",Amos,J9T1H3,819 732-2981,48.571819,-78.110168,Abitibi-Témiscamingue
23055,Marché Jean-Talon,SAQ,"7077, avenue Casgrain",Montréal,H2S3A3,514 276-1512,45.535111,-73.615584,Montréal
23056,Carrefour St-Hubert,SAQ Sélection,"5970, boulevard Cousineau",Longueuil,J3Y7R9,450 676-9876,45.49501,-73.40881,Montérégie
23057,Mail Montenach,SAQ Sélection,"560, boulevard Sir-Wilfrid-Laurier",Beloeil,J3G4J2,450 467-2161,45.5597,-73.2085,Montérégie
23058,Lennoxville,SAQ,"175, rue Queen",Sherbrooke,J1M1K1,819 565-8011,45.369215,-71.85684,Estrie
