id,Cat1,Cat2,Cat3
13584455,Vin,Vin rouge,
13876247,Vin,Vin rouge,
12824197,Vin,Vin rouge,
13624710,Vin,Vin blanc,
12073995,Vin,Vin rouge,
14185211,Spiritueux,Gin,Dry gin
14139863,Vin,Vin rouge,
14296666,Vin,Vin blanc,
12889126,Vin,Vin blanc,
12206461,Spiritueux,Scotch et whisky,Scotch single malt
10866887,Spiritueux,Scotch et whisky,Scotch single malt
13533295,Spiritueux,Eau-de-vie,
13312185,Spiritueux,Absinthe,
13306308,Spiritueux,Absinthe,
13916237,Spiritueux,Gin,Dry gin
13305831,Spiritueux,Gin,Dry gin
11401133,Spiritueux,Vodka,Vodka
110056,Spiritueux,Vodka,Vodka
257238,Spiritueux,Vodka,Vodka aromatisée
14445836,Spiritueux,Vodka,Vodka aromatisée
13570942,Spiritueux,Vodka,Vodka aromatisée
11949406,Spiritueux,Vodka,Vodka aromatisée
13188891,Champagne et mousseux,Vin mousseux,
13679892,Vin,Vin rouge,
10838801,Vin,Vin blanc,
13746485,Vin,Vin rouge,
12728904,Vin,Vin blanc,
13844317,Vin,Vin blanc,
13950347,Vin,Vin blanc,
12284303,Vin,Vin rouge,
14534628,Vin,Vin blanc,
14534679,Vin,Vin blanc,
14534636,Vin,Vin blanc,
14475242,Vin,Vin blanc,
14228356,Vin,Vin blanc,
130724,Vin,Vin blanc,
10667474,Vin,Vin rouge,
17897,Vin,Vin blanc,
10845357,Vin,Vin blanc,
14571701,Vin,Vin rouge,
14571285,Vin,Vin blanc,
14572026,Vin,Vin rouge,
22871,Vin,Vin blanc,
13851980,Vin,Vin rouge,
14646902,Spiritueux,Liqueur et Crème,Crème
14562258,Spiritueux,Vodka,Vodka aromatisée
13460655,Vin,Vin rouge,
13487188,Vin,Vin rouge,
13190317,Vin,Vin rouge,
13419441,Vin,Vin rouge,
907477,Vin,Vin rouge,
14003544,Vin,Vin rouge,
11156895,Vin,Vin rouge,
12057004,Vin,Vin blanc,
13897427,Vin,Vin blanc,
33480,Vin,Vin blanc,
13632365,Vin,Vin rouge,
14381318,Vin,Vin rouge,
11668241,Vin,Vin rouge,
13794111,Vin,Vin rouge,
10349071,Spiritueux,Liqueur et Crème,Liqueur amère
342246,Spiritueux,Liqueur et Crème,Crème
12821771,Spiritueux,Liqueur et Crème,Crème
13692481,Vin,Vin blanc,
13487161,Vin,Vin rouge,
14070991,Spiritueux,Liqueur et Crème,Liqueur amère
13673888,Spiritueux,Liqueur et Crème,Liqueur amère
14070966,Apéritif,Apéritif à base de gentiane,
13505008,Spiritueux,Liqueur et Crème,Liqueur amère
14492616,Vin,Vin rouge,
13284858,Vin,Vin rouge,
11133239,Vin,Vin rouge,
585422,Vin,Vin blanc,
14347574,Vin,Vin rouge,
10666084,Champagne et mousseux,Vin mousseux,
447334,Vin,Vin rouge,
36012,Vin,Vin rouge,
13188815,Vin,Vin rouge,
11386885,Vin,Vin rouge,
11639070,Apéritif,Apéritif à base de gentiane,
12740840,Vin,Vin rouge,
11315497,Vin,Vin rouge,
14588159,Spiritueux,Rhum,Rhum ambré
177808,Spiritueux,Rhum,Rhum ambré
11464257,Spiritueux,Rhum,Rhum ambré
13940801,Spiritueux,Eau-de-vie,
13792422,Vin,Vin blanc,
10856427,Vin,Vin rouge,
14346740,Vin,Vin rouge,
10967434,Vin,Vin rouge,
560474,Spiritueux,Scotch et whisky,Scotch single malt
11097477,Vin,Vin blanc,
14410596,Vin,Vin rouge,
13319598,Champagne et mousseux,Champagne rosé,
11339149,Champagne et mousseux,Champagne,
11156481,Spiritueux,Eau-de-vie,Poire Williams
14018412,Vin,Vin blanc,
10394533,Vin,Vin blanc,
14444930,Vin,Vin rouge,
11472409,Vin,Vin blanc,
12895171,Spiritueux,Gin,Dry gin
12895180,Spiritueux,Gin,Dry gin
11156174,Spiritueux,Scotch et whisky,Scotch single malt
14555171,Spiritueux,Vodka,Vodka
14432744,Vin,Vin blanc,
5322,Vin,Vin blanc,
14064101,Vin,Vin rouge,
492520,Spiritueux,Rhum,Rhum ambré
13336275,Cooler et cocktail prémixé,Cooler à base de spiritueux,
13586434,Cooler et cocktail prémixé,Cooler à base de spiritueux,
1206,Spiritueux,Rhum,Rhum ambré
398552,Spiritueux,Rhum,Rhum aromatisé
13937396,Spiritueux,Rhum,Rhum épicé
13478821,Spiritueux,Rhum,Rhum épicé
13462845,Spiritueux,Rhum,Rhum épicé
596,Spiritueux,Rhum,Rhum blanc
117,Spiritueux,Rhum,Rhum blanc
12135092,Vin,Vin blanc,
13305057,Spiritueux,Liqueur et Crème,Crème
12719741,Spiritueux,Liqueur et Crème,Crème
74393,Spiritueux,Liqueur et Crème,Crème
5959,Spiritueux,Liqueur et Crème,Crème
193490,Spiritueux,Liqueur et Crème,Crème
10666826,Spiritueux,Liqueur et Crème,Crème
10870211,Vin,Vin blanc,
11405661,Spiritueux,Scotch et whisky,Scotch blended
908285,Vin,Vin rouge,
854562,Vin,Vin blanc,
14549037,Vin,Vin rouge,
11459722,Spiritueux,Rhum,Rhum agricole
11202361,Spiritueux,Rhum,Rhum ambré
11416335,Spiritueux,Rhum,Rhum ambré
12228361,Champagne et mousseux,Vin mousseux rosé,
11689131,Vin,Vin blanc,
10915010,Vin,Vin blanc,
10915036,Vin,Vin rouge,
11133175,Vin,Vin rouge,
13567962,Spiritueux,Liqueur et Crème,Liqueur de café
11375692,Vin,Vin rouge,
10961180,Vin,Vin rouge,
868729,Vin,Vin rouge,
11092377,Vin,Vin rouge,
10348342,Vin,Vin blanc,
12336353,Vin,Vin rouge,
11092342,Vin,Vin rouge,
13112546,Vin,Vin blanc,
